Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2000-12-21,2.0018577575683594,2.0207791735597533,1.9035562675480457,1.903780241047302,81646
2000-12-22,1.9150882959365845,1.9817047227949032,1.9033326123744108,1.9817047227949032,25643
2000-12-25,1.9150882959365845,1.9150882959365845,1.9150882959365845,1.9150882959365845,0
2000-12-26,1.9145281314849854,1.9167669789752415,1.8865376611592781,1.9045635311424116,8636
2000-12-27,1.9794639348983765,1.9794639348983765,1.9145271070299832,1.9481152987790291,29695
2000-12-28,2.071272373199463,2.1160562218355223,1.936806978615143,1.9682680494611189,85167
2000-12-29,2.071272373199463,2.071272373199463,2.071272373199463,2.071272373199463,0
2001-01-01,2.071272373199463,2.071272373199463,2.071272373199463,2.071272373199463,0
2001-01-02,2.0040957927703857,2.0151797238783433,1.9649089722266817,1.9650212248928152,51711865
2001-01-03,2.0825822353363037,2.12725458263566,1.9929013144247034,2.0040976861107795,73767800
2001-01-04,2.116055727005005,2.1272520855481694,2.0935514666156427,2.0935514666156427,91067093
2001-01-05,2.127140522003174,2.183233171532383,2.0600763694113913,2.0600763694113913,89725135
2001-01-08,2.0824685096740723,2.1272532592184565,2.0824685096740723,2.104860529777379,35276208
2001-01-09,2.091426372528076,2.1496461861632143,2.0824695599693777,2.104861591366124,133172669
2001-01-10,2.110459089279175,2.1160570059325745,2.0823570759694654,2.0925456495876245,121227919
2001-01-11,2.116055727005005,2.1272520855481694,2.0712718888414536,2.12602032118748,67748921
2001-01-12,2.082693099975586,2.1160575212807102,2.0600772771064797,2.1160575212807102,54767808
2001-01-15,2.1048614978790283,2.1048614978790283,2.0600776144091366,2.0600776144091366,8755940
2001-01-16,2.116055727005005,2.1272520855481694,2.0936637192560568,2.104859368461841,28752435
2001-01-17,2.1328506469726562,2.1496447479514518,2.0992624450150643,2.1160565459938603,58275499
2001-01-18,2.205625534057617,2.205625534057617,2.132851195973495,2.132851195973495,155826505
2001-01-19,2.250410318374634,2.2839987094161938,2.1944300804191443,2.2055141944891714,123778967
2001-01-22,2.1720376014709473,2.250410398467587,2.157483051193195,2.250410398467587,43633547
2001-01-23,2.1519970893859863,2.1944305790491687,2.1519970893859863,2.1720380177091805,104699255
2001-01-24,2.092432975769043,2.1832333474290038,2.092432975769043,2.1832333474290038,79401364
2001-01-25,2.092432975769043,2.092432975769043,2.092432975769043,2.092432975769043,0
2001-01-26,2.1496450901031494,2.172037110082663,2.0935526101181967,2.0936648628199235,115527921
2001-01-29,2.116055727005005,2.1608402745059365,2.1104578137349406,2.1608402745059365,85858703
2001-01-30,2.0824685096740723,2.1384487372667813,2.0824685096740723,2.1384487372667813,165047480
2001-01-31,2.088068723678589,2.099264387577438,2.060078233922132,2.0936664669607246,117494354
2001-02-01,2.0488808155059814,2.1126983547907505,2.037796700710804,2.1126983547907505,64639831
2001-02-02,2.0600762367248535,2.0600762367248535,2.0208901210595998,2.0488798743423127,37216067
2001-02-05,2.009695053100586,2.0488811940052223,2.004097311639884,2.0488811940052223,13153840
2001-02-06,2.0320873260498047,2.0320873260498047,2.015293212986012,2.0264894065849015,39647535
2001-02-07,1.9929007291793823,2.026376694961941,1.9817043607812885,2.026376694961941,67589481
2001-02-08,2.048656940460205,2.076871210974168,2.0141730093887307,2.0141730093887307,59551023
2001-02-09,2.0152928829193115,2.0600774726454616,2.0152928829193115,2.0600774726454616,40285297
2001-02-12,2.020890235900879,2.0270481734941717,2.0152917883898565,2.0155155844227646,41348233
2001-02-13,2.0488808155059814,2.0488808155059814,2.0376851573182826,2.0376851573182826,139935603
2001-02-14,2.0768725872039795,2.1048623708129477,2.0152938573889827,2.037686429081469,101311144
2001-02-15,2.0768725872039795,2.0936667056377978,2.0768725872039795,2.0824703311242554,37920263
2001-02-16,1.971068024635315,2.08246901678094,1.9469964641617068,2.08246901678094,66579691
2001-02-19,1.959313154220581,2.0152934185880174,1.959313154220581,2.0152934185880174,50263614
2001-02-20,1.9257234334945679,1.9873022852236832,1.86974320732,1.9650218090493814,74352415
2001-02-21,1.9035557508468628,1.9929004046594625,1.8920240447849246,1.9593121916071237,117746801
2001-02-22,1.9537148475646973,1.9537148475646973,1.9145288830634584,1.9145288830634584,150843990
2001-02-23,1.9930130243301392,2.071273756032466,1.9481168930536612,1.9592010089484087,144081056
2001-02-26,1.9930130243301392,1.9930130243301394,1.9930130243301394,1.9930130243301394,0
2001-02-27,1.9930130243301392,1.9930130243301394,1.9930130243301394,1.9930130243301394,0
2001-02-28,1.9089312553405762,1.9873042894284867,1.904452846916872,1.9873042894284867,85141221
2001-03-01,1.9650214910507202,1.9928997015958576,1.920125383879071,1.9257231218555466,119806241
2001-03-02,2.026376724243164,2.026488976984004,1.9481168797478825,1.9929007579768767,154431401
2001-03-05,2.0040957927703857,2.048879641194821,1.9817030705534324,2.0152914445413197,93737721
