Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2000-01-03,1.5653939247131348,1.5844022880439428,1.5653939247131348,1.5653939247131348,585600
2000-01-04,1.528122067451477,1.5538391973098025,1.528122067451477,1.5504848122487118,782400
2000-01-05,1.528122067451477,1.528122067451477,1.5094867133720609,1.5094867133720609,1876800
2000-01-06,1.528122067451477,1.5653936286821373,1.528122067451477,1.528122067451477,792000
2000-01-07,1.5840290784835815,1.5918560129770964,1.5467579415365604,1.5467579415365604,5347200
2000-01-10,1.714478611946106,1.714478611946106,1.677207476861164,1.677207476861164,2980800
2000-01-11,1.7182056903839111,1.7256601524911863,1.703297299339294,1.7144787259152403,326400
2000-01-12,1.7349780797958374,1.7517502231029907,1.7182060431226929,1.7219334348925248,5068800
2000-01-13,1.7927483320236206,1.7927483320236206,1.7927483320236206,1.7927483320236206,120000
2000-01-14,1.8262925148010254,1.8262925148010254,1.7968483126728376,1.7968483126728376,3484800
2000-01-17,1.863564133644104,1.863564133644104,1.8262929874627565,1.8262929874627565,230400
2000-01-18,1.8076565265655518,1.844928085374826,1.8002025986859946,1.844928085374826,3724800
2000-01-19,1.8002023696899414,1.8117563723060088,1.7890209461230888,1.8076562966213163,1872000
2000-01-20,1.7890211343765259,1.7890211343765259,1.7890211343765259,1.7890211343765259,748800
2000-01-21,1.7517496347427368,1.7890211939744656,1.7517496347427368,1.7890211939744656,144000
2000-01-24,1.7890211343765259,1.8076564868356968,1.7517495763864304,1.7517495763864304,705600
2000-01-25,1.7890211343765259,1.7890211343765259,1.7890211343765259,1.7890211343765259,0
2000-01-26,1.774112582206726,1.774112582206726,1.774112582206726,1.774112582206726,196800
2000-01-27,1.7890211343765259,1.8076564868356968,1.7890211343765259,1.8076564868356968,686400
2000-01-28,1.7890211343765259,1.7890211343765259,1.7890211343765259,1.7890211343765259,211200
2000-01-31,1.7890211343765259,1.7890211343765259,1.7890211343765259,1.7890211343765259,0
2000-02-01,1.7517496347427368,1.7517496347427368,1.7517496347427368,1.7517496347427368,148800
2000-02-02,1.677207350730896,1.7666584307633382,1.677207350730896,1.7666584307633382,739200
2000-02-03,1.677207350730896,1.7144784830129538,1.658571571321924,1.658571571321924,4382400
2000-02-04,1.7405685186386108,1.7405685186386108,1.6772076671140972,1.6772076671140972,345600
2000-02-07,1.8262925148010254,1.8262925148010254,1.7517498151946387,1.7517498151946387,81600
